Happiness Rank,Country,Region,Happiness Score,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year,Standard Error
35,Slovakia,Central and Eastern Europe,6.391,6.475,6.306,2.094,1736.0,1.107,0.707,0.479,0.118,0.025,2022,0.04311224489795908
36,Estonia,Central and Eastern Europe,6.341,6.415,6.266,1.442,1793.0,1.044,0.728,0.689,0.123,0.333,2022,0.03801020408163266
37,Panama,Latin America and Caribbean,6.309,6.464,6.154,2.086,1715.0,1.22,0.709,0.592,0.049,0.051,2022,0.07908163265306135
38,Brazil,Latin America and Caribbean,6.293,6.384,6.202,2.361,1462.0,1.221,0.615,0.546,0.131,0.134,2022,0.04642857142857153
39,Guatemala*,Latin America and Caribbean,6.262,6.46,6.064,2.746,1274.0,1.086,0.522,0.662,0.112,0.115,2022,0.10102040816326528
40,Kazakhstan,Commonwealth of Independent States,6.234,6.33,6.138,1.86,1668.0,1.08,0.611,0.584,0.134,0.157,2022,0.04897959183673474
41,Cyprus,Western Europe,6.221,6.32,6.122,2.044,1815.0,1.029,0.819,0.448,0.123,0.062,2022,0.05051020408163275
42,Latvia,Central and Eastern Europe,6.18,6.255,6.106,1.923,1732.0,1.183,0.637,0.502,0.075,0.09,2022,0.03801020408163266
43,Serbia,Central and Eastern Europe,6.178,6.294,6.062,2.031,1550.0,1.174,0.658,0.546,0.219,0.088,2022,0.059183673469387583
44,Chile,Latin America and Caribbean,6.172,6.262,6.082,2.04,1651.0,1.233,0.748,0.46,0.124,0.069,2022,0.0459183673469387
45,Nicaragua,Latin America and Caribbean,6.165,6.312,6.017,2.418,1105.0,1.116,0.617,0.617,0.168,0.212,2022,0.07525510204081631
46,Mexico,Latin America and Caribbean,6.128,6.238,6.017,2.239,1552.0,1.092,0.623,0.621,0.092,0.115,2022,0.05637755102040819
47,Croatia,Central and Eastern Europe,6.125,6.229,6.022,1.884,1705.0,1.089,0.709,0.535,0.109,0.0,2022,0.05280612244897955
48,Poland,Central and Eastern Europe,6.123,6.205,6.04,1.693,1758.0,1.078,0.712,0.523,0.124,0.14,2022,0.04209183673469389
49,El Salvador,Latin America and Caribbean,6.12,6.25,5.99,2.514,1265.0,1.102,0.607,0.666,0.089,0.212,2022,0.06632653061224485
50,Kuwait*,Middle East and North Africa,6.106,6.235,5.977,1.621,1904.0,1.096,0.747,0.617,0.087,0.147,2022,0.06581632653061224
51,Hungary,Central and Eastern Europe,6.086,6.187,5.985,1.812,1748.0,1.008,0.668,0.485,0.078,0.064,2022,0.05153061224489795
52,Mauritius,Sub-Saharan Africa,6.071,6.184,5.958,1.969,1591.0,1.045,0.568,0.589,0.131,0.107,2022,0.05765306122448979
53,Uzbekistan,Commonwealth of Independent States,6.063,6.178,5.948,1.913,1219.0,1.109,0.6,0.716,0.283,0.24,2022,0.05867346938775499
54,Japan,East Asia,6.039,6.119,5.959,1.487,1835.0,1.157,0.866,0.537,0.007,0.218,2022,0.04081632653061228
55,Honduras,Latin America and Caribbean,6.022,6.189,5.855,2.611,1111.0,1.068,0.555,0.582,0.202,0.076,2022,0.08520408163265297
56,Portugal,Western Europe,6.016,6.122,5.911,1.691,1760.0,1.197,0.777,0.655,0.016,0.039,2022,0.053826530612244974
57,Argentina,Latin America and Caribbean,5.967,6.09,5.844,1.891,1592.0,1.003,0.662,0.555,0.081,0.085,2022,0.06275510204081622
58,Greece,Western Europe,5.948,6.043,5.853,2.119,1703.0,1.13,0.774,0.249,0.015,0.108,2022,0.04846938775510214
59,South Korea,East Asia,5.935,6.021,5.849,1.656,1851.0,1.023,0.841,0.414,0.111,0.176,2022,0.04387755102040809
60,Philippines,Southeast Asia,5.904,6.007,5.8,2.283,1268.0,1.319,0.514,0.678,0.107,0.142,2022,0.05280612244897955
61,Thailand,Southeast Asia,5.891,5.994,5.788,1.6,1535.0,1.095,0.697,0.617,0.321,0.026,2022,0.052551020408163146
62,Moldova,Commonwealth of Independent States,5.857,5.948,5.766,2.142,1417.0,1.005,0.597,0.561,0.102,0.028,2022,0.04642857142857153
63,Jamaica,Latin America and Caribbean,5.85,6.023,5.676,2.164,1296.0,1.163,0.646,0.567,0.08,0.053,2022,0.08852040816326519
64,Kyrgyzstan,Commonwealth of Independent States,5.828,5.916,5.741,2.087,1069.0,1.088,0.638,0.693,0.208,0.025,2022,0.044642857142857324
65,Belarus*,Commonwealth of Independent States,5.821,5.95,5.693,1.811,1562.0,1.093,0.629,0.342,0.04,0.282,2022,0.06556122448979607
66,Colombia,Latin America and Caribbean,5.781,5.903,5.659,1.971,1452.0,1.081,0.72,0.545,0.087,0.077,2022,0.062244897959183615
67,Bosnia and Herzegovina,Central and Eastern Europe,5.768,5.877,5.659,1.869,1468.0,1.068,0.665,0.448,0.244,0.006,2022,0.05561224489795918
68,Mongolia,East Asia,5.761,5.845,5.676,1.999,1393.0,1.197,0.467,0.398,0.247,0.059,2022,0.04311224489795908
69,Dominican Republic,Latin America and Caribbean,5.737,5.873,5.601,1.751,1538.0,1.003,0.577,0.606,0.084,0.179,2022,0.06938775510204089
70,Malaysia,Southeast Asia,5.711,5.845,5.578,1.471,1689.0,1.13,0.62,0.654,0.213,0.126,2022,0.06811224489795904
71,Bolivia,Latin America and Caribbean,5.6,5.709,5.491,2.107,1256.0,1.023,0.555,0.627,0.112,0.064,2022,0.05561224489795918
72,China,East Asia,5.585,5.65,5.52,1.516,1508.0,1.319,0.705,0.656,0.099,0.142,2022,0.03316326530612265
73,Paraguay,Latin America and Caribbean,5.578,5.689,5.467,1.555,1409.0,1.095,0.624,0.629,0.171,0.059,2022,0.0566326530612246
74,Peru,Latin America and Caribbean,5.559,5.679,5.439,1.89,1397.0,1.005,0.735,0.545,0.09,0.037,2022,0.06122448979591842
75,Montenegro,Central and Eastern Europe,5.547,5.681,5.413,1.619,1573.0,1.163,0.659,0.46,0.135,0.077,2022,0.06836734693877546
76,Ecuador,Latin America and Caribbean,5.533,5.653,5.414,1.866,1352.0,1.088,0.708,0.565,0.08,0.083,2022,0.06096938775510201
77,Vietnam,Southeast Asia,5.485,5.57,5.4,1.735,1252.0,1.093,0.611,0.707,0.143,0.105,2022,0.043367346938775496
78,Turkmenistan*,Commonwealth of Independent States,5.474,5.578,5.371,1.16,1484.0,1.081,0.516,0.649,0.314,0.032,2022,0.05280612244897955
79,North Cyprus*,Western Europe,5.467,5.609,5.325,1.078,1815.0,0.888,0.819,0.523,0.13,0.213,2022,0.07244897959183669
80,Russia,Commonwealth of Independent States,5.459,5.525,5.392,1.494,1685.0,1.095,0.586,0.401,0.117,0.08,2022,0.03392857142857143
81,Hong Kong S.A.R. of China,East Asia,5.425,5.501,5.348,0.642,1957.0,1.005,0.942,0.4,0.147,0.383,2022,0.03903061224489808
82,Armenia,Commonwealth of Independent States,5.399,5.519,5.278,1.654,1434.0,1.163,0.668,0.558,0.054,0.21,2022,0.061479591836734834
83,Tajikistan,Commonwealth of Independent States,5.377,5.468,5.287,1.895,0.97,1.088,0.518,0.572,0.118,0.304,2022,0.046173469387755114
84,Nepal,South Asia,5.377,5.502,5.251,2.224,0.98,1.093,0.499,0.519,0.237,0.13,2022,0.06403061224489782
85,Bulgaria,Central and Eastern Europe,5.371,5.485,5.257,1.235,1625.0,1.081,0.64,0.563,0.123,0.021,2022,0.05816326530612261
86,Libya*,Middle East and North Africa,5.33,5.543,5.118,1.544,1476.0,0.943,0.606,0.477,0.106,0.179,2022,0.10841836734693873
87,Indonesia,Southeast Asia,5.24,5.341,5.139,1.3,1382.0,0.883,0.539,0.62,0.468,0.047,2022,0.05153061224489795
88,Ivory Coast,Sub-Saharan Africa,5.235,5.384,5.085,2.652,1094.0,0.442,0.322,0.451,0.149,0.124,2022,0.07627551020408173
89,North Macedonia,Central and Eastern Europe,5.199,5.303,5.095,1.461,1505.0,0.863,0.637,0.488,0.215,0.031,2022,0.053061224489795965
90,Albania,Central and Eastern Europe,5.199,5.321,5.076,1.718,1439.0,0.646,0.719,0.511,0.138,0.028,2022,0.06250000000000003
91,South Africa,Sub-Saharan Africa,5.194,5.315,5.073,1.742,1425.0,1.088,0.361,0.442,0.089,0.046,2022,0.06173469387755102
92,Azerbaijan*,Commonwealth of Independent States,5.173,5.265,5.082,1.098,1458.0,1.093,0.56,0.601,0.023,0.341,2022,0.04668367346938771
93,Gambia*,Sub-Saharan Africa,5.164,5.409,4.918,2.531,0.79,1.081,0.369,0.367,0.388,0.103,2022,0.12525510204081625
94,Bangladesh,South Asia,5.155,5.262,5.049,1.967,1060.0,0.614,0.581,0.622,0.125,0.187,2022,0.05433673469387734
95,Laos,Southeast Asia,5.14,5.263,5.018,1.709,1239.0,0.654,0.479,0.679,0.197,0.184,2022,0.06250000000000003
96,Algeria,Middle East and North Africa,5.122,5.215,5.03,1.744,1363.0,0.97,0.643,0.146,0.106,0.15,2022,0.04719387755102031
97,Liberia*,Sub-Saharan Africa,5.122,5.428,4.815,2.844,0.64,0.67,0.309,0.405,0.178,0.08,2022,0.15637755102040804
98,Ukraine,Commonwealth of Independent States,5.084,5.19,4.978,1.331,1411.0,1.081,0.583,0.473,0.188,0.017,2022,0.05408163265306139
99,Congo,Sub-Saharan Africa,5.075,5.235,4.915,2.658,0.95,0.405,0.355,0.431,0.13,0.146,2022,0.08163265306122457
100,Morocco,Middle East and North Africa,5.06,5.181,4.938,2.405,1208.0,0.268,0.565,0.492,0.02,0.102,2022,0.06198979591836743
101,Mozambique,Sub-Saharan Africa,5.048,5.273,4.823,2.641,0.58,0.66,0.191,0.593,0.185,0.2,2022,0.11479591836734676
102,Cameroon,Sub-Saharan Africa,5.048,5.188,4.907,2.469,0.97,0.672,0.317,0.397,0.152,0.074,2022,0.07168367346938768
103,Senegal,Sub-Saharan Africa,5.046,5.171,4.921,2.419,0.93,0.53,0.447,0.494,0.143,0.081,2022,0.06377551020408163
104,Niger*,Sub-Saharan Africa,5.003,5.247,4.76,2.667,0.57,0.56,0.326,0.571,0.165,0.145,2022,0.12423469387755105
105,Georgia,Commonwealth of Independent States,4.973,5.079,4.867,1.583,1467.0,0.612,0.595,0.508,0.0,0.208,2022,0.05408163265306116
106,Gabon,Sub-Saharan Africa,4.958,5.091,4.826,1.892,1459.0,0.738,0.396,0.343,0.032,0.099,2022,0.06760204081632668
107,Iraq,Middle East and North Africa,4.941,5.099,4.783,1.894,1289.0,0.682,0.554,0.328,0.147,0.046,2022,0.08061224489795914
108,Venezuela,Latin America and Caribbean,4.925,5.051,4.8,2.79,0.0,0.968,0.578,0.283,0.225,0.082,2022,0.06403061224489805
109,Guinea,Sub-Saharan Africa,4.891,5.028,4.753,2.538,0.85,0.566,0.275,0.334,0.214,0.116,2022,0.07015306122448967
110,Iran,Middle East and North Africa,4.888,4.995,4.78,1.427,1410.0,0.741,0.642,0.281,0.241,0.146,2022,0.05484693877551017
111,Ghana,Sub-Saharan Africa,4.872,4.999,4.745,1.972,1112.0,0.595,0.409,0.5,0.23,0.056,2022,0.06479591836734683
112,Turkey,Middle East and North Africa,4.744,4.845,4.644,1.059,1707.0,0.865,0.702,0.209,0.087,0.115,2022,0.05127551020408154
113,Burkina Faso,Sub-Saharan Africa,4.67,4.814,4.527,2.313,0.78,0.565,0.32,0.382,0.186,0.126,2022,0.07321428571428569
114,Cambodia,Southeast Asia,4.64,4.765,4.516,1.41,1019.0,0.732,0.505,0.74,0.166,0.068,2022,0.06352040816326522
115,Benin,Sub-Saharan Africa,4.623,4.754,4.492,2.458,0.93,0.064,0.335,0.479,0.127,0.23,2022,0.06683673469387744
116,Comoros*,Sub-Saharan Africa,4.609,4.849,4.368,2.304,0.9,0.476,0.424,0.185,0.195,0.125,2022,0.12270408163265303
117,Uganda,Sub-Saharan Africa,4.603,4.747,4.459,1.842,0.78,0.875,0.418,0.402,0.222,0.066,2022,0.0734693877551021
118,Nigeria,Sub-Saharan Africa,4.552,4.651,4.453,1.784,1079.0,0.732,0.3,0.444,0.175,0.038,2022,0.05051020408163253
119,Kenya,Sub-Saharan Africa,4.543,4.683,4.403,1.661,1032.0,0.605,0.401,0.44,0.322,0.082,2022,0.0714285714285715
120,Tunisia,Middle East and North Africa,4.516,4.629,4.403,1.54,1350.0,0.596,0.656,0.316,0.029,0.029,2022,0.05765306122448979
121,Pakistan,South Asia,4.516,4.634,4.397,1.94,1049.0,0.413,0.374,0.448,0.181,0.112,2022,0.06045918367346941
122,Palestinian Territories*,Middle East and North Africa,4.483,4.665,4.3,1.368,1148.0,0.957,0.521,0.336,0.073,0.079,2022,0.09311224489795925
123,Mali,Sub-Saharan Africa,4.479,4.611,4.347,2.373,0.79,0.483,0.311,0.35,0.128,0.042,2022,0.06734693877551004
124,Namibia,Sub-Saharan Africa,4.459,4.593,4.326,1.414,1292.0,0.877,0.354,0.384,0.067,0.071,2022,0.06811224489795928
125,Eswatini. Kingdom of*,Sub-Saharan Africa,4.396,4.607,4.185,1.688,1274.0,0.786,0.197,0.259,0.038,0.154,2022,0.10765306122448995
126,Myanmar,Southeast Asia,4.394,4.511,4.277,0.877,1038.0,0.829,0.491,0.513,0.452,0.194,2022,0.0596938775510204
127,Sri Lanka,South Asia,4.362,4.487,4.237,0.595,1415.0,0.934,0.66,0.529,0.15,0.079,2022,0.06377551020408163
128,Madagascar*,Sub-Saharan Africa,4.339,4.53,4.148,2.148,0.67,0.645,0.378,0.202,0.143,0.154,2022,0.09744897959183688
129,Egypt,Middle East and North Africa,4.288,4.377,4.198,0.856,1388.0,0.732,0.548,0.469,0.041,0.254,2022,0.04566326530612229
130,Chad*,Sub-Saharan Africa,4.251,4.503,3.999,2.419,0.66,0.506,0.225,0.18,0.182,0.077,2022,0.1285714285714286
131,Ethiopia,Sub-Saharan Africa,4.241,4.365,4.118,1.375,0.79,0.809,0.457,0.472,0.205,0.136,2022,0.06301020408163263
132,Yemen*,Middle East and North Africa,4.197,4.384,4.01,1.561,0.69,1.043,0.384,0.33,0.09,0.098,2022,0.09540816326530627
133,Mauritania*,Sub-Saharan Africa,4.153,4.356,3.95,1.207,1100.0,0.865,0.45,0.304,0.088,0.138,2022,0.1035714285714285
134,Jordan,Middle East and North Africa,4.152,4.276,4.029,0.695,1324.0,0.724,0.675,0.476,0.058,0.2,2022,0.06301020408163263
135,Togo,Sub-Saharan Africa,4.112,4.272,3.953,2.061,0.77,0.322,0.36,0.292,0.174,0.132,2022,0.08137755102040826
136,India,South Asia,3.777,3.828,3.726,0.795,1167.0,0.376,0.471,0.647,0.198,0.123,2022,0.026020408163265275
137,Zambia,Sub-Saharan Africa,3.76,3.902,3.618,1.135,0.93,0.577,0.306,0.525,0.203,0.083,2022,0.0724489795918368
138,Malawi,Sub-Saharan Africa,3.75,3.941,3.56,1.661,0.65,0.279,0.388,0.477,0.14,0.157,2022,0.09719387755102035
139,Tanzania,Sub-Saharan Africa,3.702,3.847,3.558,0.735,0.85,0.597,0.425,0.578,0.248,0.27,2022,0.0737244897959184
140,Sierra Leone,Sub-Saharan Africa,3.574,3.732,3.416,1.556,0.69,0.416,0.273,0.387,0.202,0.055,2022,0.08061224489795926
141,Lesotho*,Sub-Saharan Africa,3.512,3.748,3.276,1.312,0.84,0.848,0.0,0.419,0.076,0.018,2022,0.12040816326530623
142,Botswana*,Sub-Saharan Africa,3.471,3.667,3.275,0.187,1503.0,0.815,0.28,0.571,0.012,0.102,2022,0.09999999999999998
143,Rwanda*,Sub-Saharan Africa,3.268,3.462,3.074,0.536,0.79,0.133,0.462,0.621,0.187,0.544,2022,0.09897959183673478
144,Zimbabwe,Sub-Saharan Africa,2.995,3.11,2.88,0.548,0.95,0.69,0.27,0.329,0.106,0.105,2022,0.0586734693877551
145,Lebanon,Middle East and North Africa,2.955,3.049,2.862,0.216,1392.0,0.498,0.631,0.103,0.082,0.034,2022,0.04770408163265302
146,Afghanistan,South Asia,2.404,2.469,2.339,1.263,0.76,0.0,0.289,0.0,0.089,0.005,2022,0.03316326530612242
