Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Region,Year,Dystopia Residual,Upper Confidence Interval,Lower Confidence Interval,Standard Error
22,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,Western Europe,2018,1.784,6.709,6.544,0.042091837
23,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,Western Europe,2018,2.028,6.569,6.41,0.040561224
24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,Latin America and Caribbean,2018,2.795,6.581,6.396,0.047193878
25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,Latin America and Caribbean,2018,2.517,6.565,6.388,0.045153061
26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,Eastern Asia,2018,2.136126518,6.525,6.356,
27,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,Latin America and Caribbean,2018,2.136126518,6.539,6.321,0.055612245
28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,Latin America and Caribbean,2018,2.136126518,6.515,6.323,0.048979592
29,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,Latin America and Caribbean,2018,2.136126518,6.485,6.291,0.049489796
30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,Latin America and Caribbean,2018,2.871,6.497,6.267,0.058673469
31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,Latin America and Caribbean,2018,2.147,6.474,6.284,0.048469388
32,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,Middle East and Northern Africa,2018,1.593,6.568,6.181,0.09872449
33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,Middle East and Northern Africa,2018,2.293,6.481,6.26,0.056377551
34,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,Southeastern Asia,2018,1.005,6.406,6.28,0.032142857
35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,Southeastern Asia,2018,2.507,6.477,6.167,0.079081633
36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,Western Europe,2018,1.892,6.388,6.231,0.04005102
37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,Latin America and Caribbean,2018,2.556,6.358,6.162,0.05
38,Trinidad and Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,Latin America and Caribbean,2018,2.148452759,6.416,5.968,
39,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,Central and Eastern Europe,2018,2.165,6.254,6.093,0.041071429
40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,Latin America and Caribbean,2018,2.884,6.272,6.061,0.053826531
41,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,Latin America and Caribbean,2018,2.59,6.256,6.026,0.058673469
42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,Central and Eastern Europe,2018,2.002,6.198,6.048,0.038265306
43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,Middle East and Northern Africa,2018,1.743,6.191,6.019,0.043877551
44,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,Central and Eastern Europe,2018,1.877,6.196,5.996,0.051020408
45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,Middle East and Northern Africa,2018,1.805,6.171,5.996,0.044642857
46,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,Southeastern Asia,2018,1.902,6.161,5.984,0.045153061
47,Italy,6,1.264,1.501,0.946,0.281,0.137,0.028,Western Europe,2018,1.843,6.083,5.918,0.042091837
48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,Latin America and Caribbean,2018,2.228,6.076,5.871,0.052295918
49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,Latin America and Caribbean,2018,2.71,6.197,5.714,0.123214286
50,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,Central and Eastern Europe,2018,2.13,6.037,5.867,0.043367347
51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,Central and Eastern Europe,2018,1.522,6.043,5.852,0.04872449
52,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,Central and Eastern Europe,2018,2.269,6.038,5.852,0.04744898
53,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,Central and Eastern Europe,2018,2.139,6.004,5.863,0.035969388
54,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,Eastern Asia,2018,1.39,5.997,5.833,0.041836735
55,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,Sub-Saharan Africa,2018,1.851,6.006,5.777,0.058418367
56,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,Latin America and Caribbean,2018,2.182,6.126,5.653,0.120663265
57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,Eastern Asia,2018,1.98,5.968,5.782,0.04744898
58,North Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,Western Europe,2018,1.658751488,5.954,5.715,
59,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,Central and Eastern Europe,2018,2.091,5.876,5.744,0.033673469
60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,Central and Eastern Europe,2018,1.778,5.871,5.709,0.041326531
61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,Western Europe,2018,1.774,5.87,5.655,0.054846939
62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,Latin America and Caribbean,2018,2.469,5.842,5.662,0.045918367
63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,Central and Eastern Europe,2018,1.457,5.815,5.663,0.03877551
64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,Latin America and Caribbean,2018,1.932,5.784,5.577,0.052806122
65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,Latin America and Caribbean,2018,2.151,5.77,5.556,0.054591837
66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,Central and Eastern Europe,2018,2.255,5.757,5.567,0.048469388
67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0,Central and Eastern Europe,2018,2.659,5.712,5.568,0.036734694
68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,Central and Eastern Europe,2018,1.918,5.693,5.579,0.029081633
69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,Central and Eastern Europe,2018,1.974,5.699,5.541,0.040306122
70,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,Middle East and Northern Africa,2018,1.918,5.687,5.445,0.061734694
71,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,Southeastern Asia,2018,2.056,5.637,5.411,0.057653061
72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,Latin America and Caribbean,2018,2.328,5.63,5.378,0.064285714
73,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,Central and Eastern Europe,2018,1.684,5.558,5.409,0.038010204
74,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,Middle East and Northern Africa,2018,1.729,5.583,5.382,0.05127551
75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,Southern Asia,2018,2.923,5.548,5.397,0.038520408
76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291,Eastern Asia,2018,0.643622398,5.523,5.337,
77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,Western Europe,2018,1.276,5.509,5.312,0.050255102
78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,Central and Eastern Europe,2018,1.905,5.499,5.298,0.05127551
79,Greece,5.358,1.154,1.202,0.879,0.131,0,0.044,Western Europe,2018,1.948,5.456,5.26,0.05
80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,Middle East and Northern Africa,2018,1.771,5.288,5.11,0.045408163
81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,Central and Eastern Europe,2018,1.87,5.45,5.245,0.052295918
82,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,Central and Eastern Europe,2018,1.769,5.398,5.244,0.039285714
83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,Latin America and Caribbean,2018,1.461,5.426,5.178,0.063265306
84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,Middle East and Northern Africa,2018,2.209,5.406,5.183,0.056887755
85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,Middle East and Northern Africa,2018,2.448,5.328,5.179,0.038010204
86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,Eastern Asia,2018,1.586,5.294,5.197,0.024744898
87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,Central and Eastern Europe,2018,1.776,5.27,5.131,0.035459184
88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,Central and Eastern Europe,2018,2.248,5.434,5.271,0.041581633
89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,Central and Eastern Europe,2018,1.675,5.279,5.091,0.047959184
90,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,Middle East and Northern Africa,2018,1.697,5.269,5.052,0.055357143
91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,Sub-Saharan Africa,2018,2.552,5.275,5.035,0.06122449
92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,Central and Eastern Europe,2018,1.736,5.217,5.045,0.043877551
93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0,Central and Eastern Europe,2018,1.883,5.224,5.035,0.048214286
94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,Eastern Asia,2018,1.438,5.199,5.05,0.038010204
95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,Southeastern Asia,2018,1.447,5.177,5.03,0.0375
96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,Southeastern Asia,2018,1.417,5.194,4.991,0.051785714
97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,Southern Asia,2018,1.348,5.196,4.969,0.057908163
98,Somalia,4.982,0,0.712,0.115,0.674,0.238,0.282,Sub-Saharan Africa,2018,2.961,5.087,4.876,0.053826531
99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,Sub-Saharan Africa,2018,2.688,5.09,4.86,0.058673469
100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,Central and Eastern Europe,2018,1.219,5.022,4.844,0.045408163
101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,Southern Asia,2018,1.782,4.992,4.769,0.056887755
102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,Latin America and Caribbean,2018,1.442,4.956,4.655,0.076785714
103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,Sub-Saharan Africa,2018,1.715,4.86,4.657,0.051785714
104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,Middle East and Northern Africa,2018,1.853,4.851,4.636,0.054846939
105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,Sub-Saharan Africa,2018,1.368,4.831,4.617,0.054591837
106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,Middle East and Northern Africa,2018,1.315,4.822,4.591,0.058928571
107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,Sub-Saharan Africa,2018,2.463,4.78,4.562,0.055612245
108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,Sub-Saharan Africa,2018,2.093,4.765,4.549,0.055102041
109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,Sub-Saharan Africa,2018,2.026,4.707,4.555,0.03877551
110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,Southeastern Asia,2018,1.399,4.773,4.473,0.076530612
111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,Middle East and Northern Africa,2018,1.722,4.677,4.508,0.043112245
112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,Central and Eastern Europe,2018,1.462,4.695,4.477,0.055612245
113,Sierra Leone,4.571,0.256,0.813,0,0.355,0.238,0.053,Sub-Saharan Africa,2018,2.855,4.712,4.429,0.072193878
114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,Sub-Saharan Africa,2018,2.041,4.688,4.43,0.065816327
115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,Southern Asia,2018,1.664,4.583,4.418,0.042091837
116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,Southern Asia,2018,0.624,4.592,4.349,0.061989796
117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,Middle East and Northern Africa,2018,1.393,4.602,4.309,0.074744898
118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,Sub-Saharan Africa,2018,2.13,4.539,4.355,0.046938776
119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,Sub-Saharan Africa,2018,1.287,4.654,4.229,0.108418367
120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,Southeastern Asia,2018,1.321,4.536,4.329,0.052806122
121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,Sub-Saharan Africa,2018,2.145,4.517,4.332,0.047193878
122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,Middle East and Northern Africa,2018,1.444,4.51,4.328,0.046428571
123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,Sub-Saharan Africa,2018,2.249,4.577,4.256,0.081887755
124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,Sub-Saharan Africa,2018,1.503,4.513,4.306,0.052806122
125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,Sub-Saharan Africa,2018,1.667,4.508,4.247,0.066581633
126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,Sub-Saharan Africa,2018,1.905,4.447,4.264,0.046683673
127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,Sub-Saharan Africa,2018,1.884,4.429,4.272,0.04005102
128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,Central and Eastern Europe,2018,1.624,4.425,4.256,0.043112245
129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,Central and Eastern Europe,2018,1.483,4.412,4.229,0.046683673
130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,Southeastern Asia,2018,0.667,4.383,4.233,0.038265306
131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,Sub-Saharan Africa,2018,2.553,4.42,4.181,0.060969388
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,Sub-Saharan Africa,2018,2.274,4.341,4.149,0.048979592
133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,Southern Asia,2018,1.432,4.237,4.142,0.024234694
134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,Sub-Saharan Africa,2018,2.283,4.27,4.061,0.053316327
135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,Sub-Saharan Africa,2018,1.742,4.282,4.04,0.061734694
136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,Sub-Saharan Africa,2018,2.481,4.255,4.028,0.057908163
137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,Sub-Saharan Africa,2018,1.75,4.345,3.932,0.105357143
138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,Central and Eastern Europe,2018,0.927,4.197,4.009,0.047959184
139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,Sub-Saharan Africa,2018,2.319,4.11,3.887,0.056887755
140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,Sub-Saharan Africa,2018,1.943,4.07,3.858,0.054081633
141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,Sub-Saharan Africa,2018,1.392,4.045,3.572,0.120663265
142,Angola,3.795,0.73,1.125,0.269,0,0.079,0.061,Sub-Saharan Africa,2018,1.531,3.951,3.638,0.079846939
143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,Sub-Saharan Africa,2018,1.778,3.857,3.69,0.042602041
144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,Sub-Saharan Africa,2018,1.356,3.806,3.579,0.057908163
145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,Southern Asia,2018,2.196,3.715,3.548,0.042602041
146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,Sub-Saharan Africa,2018,0.292,3.704,3.475,0.058418367
147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,Sub-Saharan Africa,2018,1.732,3.691,3.482,0.053316327
148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,Latin America and Caribbean,2018,1.744,3.713,3.451,0.066836735
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,Sub-Saharan Africa,2018,1.64,3.623,3.368,0.06505102
150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,Middle East and Northern Africa,2018,1.244,3.664,3.26,0.103061224
151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,Sub-Saharan Africa,2018,0.5,3.5,3.317,0.046683673
152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,Middle East and Northern Africa,2018,1.106,3.448,3.262,0.04744898
153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,Sub-Saharan Africa,2018,0.628,3.414,3.193,0.056377551
154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,Sub-Saharan Africa,2018,1.691,3.385,3.123,0.066836735
155,Central African Republic,3.083,0.024,0,0.01,0.305,0.218,0.038,Sub-Saharan Africa,2018,2.487,3.227,2.939,0.073469388
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,Sub-Saharan Africa,2018,1.752,3.074,2.735,0.086479592
