Happiness Rank,Happiness Score,Country,Region,Upper Confidence Interval,Lower Confidence Interval,Generosity,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,Year,Standard Error
74,5.536,North Cyprus,Western Europe,5.636,5.435,0.012,1.377,0.806,0.801,0.503,0.2,1.653,2021,0.051
75,5.534,Belarus,Commonwealth of Independent States,5.625,5.442,-0.18,1.124,1.007,0.56,0.326,0.199,2.247,2021,0.047
76,5.477,Russia,Commonwealth of Independent States,5.541,5.413,-0.111,1.241,0.992,0.511,0.409,0.06,2.148,2021,0.033
77,5.477,Hong Kong S.A.R. of China,East Asia,5.573,5.38,0.067,1.525,0.841,0.893,0.408,0.342,1.236,2021,0.049
78,5.466,Tajikistan,Commonwealth of Independent States,5.532,5.4,-0.056,0.508,0.895,0.498,0.548,0.247,2.619,2021,0.034
79,5.411,Vietnam,Southeast Asia,5.488,5.334,-0.098,0.817,0.873,0.616,0.679,0.091,2.211,2021,0.039
80,5.410,Libya,Middle East and North Africa,5.558,5.262,-0.087,1.044,0.821,0.435,0.474,0.174,2.331,2021,0.076
81,5.384,Malaysia,Southeast Asia,5.48,5.289,0.125,1.259,0.797,0.587,0.624,0.064,1.784,2021,0.049
82,5.345,Indonesia,Southeast Asia,5.454,5.235,0.542,0.954,0.786,0.433,0.598,0.046,1.987,2021,0.056
83,5.342,Congo (Brazzaville),Sub-Saharan Africa,5.533,5.151,-0.068,0.518,0.392,0.307,0.381,0.124,3.476,2021,0.097
84,5.339,China,East Asia,5.397,5.281,-0.146,1.061,0.785,0.665,0.636,0.117,1.982,2021,0.029
85,5.306,Ivory Coast,Sub-Saharan Africa,5.46,5.152,-0.016,0.669,0.409,0.052,0.438,0.092,3.469,2021,0.078
86,5.283,Armenia,Commonwealth of Independent States,5.397,5.168,-0.168,0.996,0.758,0.585,0.54,0.198,2.127,2021,0.058
87,5.269,Nepal,South Asia,5.406,5.132,0.152,0.519,0.702,0.496,0.488,0.135,2.642,2021,0.07
88,5.266,Bulgaria,Central and Eastern Europe,5.371,5.16,-0.096,1.181,1.055,0.583,0.494,0.005,1.823,2021,0.054
89,5.198,Maldives,South Asia,5.339,5.057,0.024,1.115,1.015,0.697,0.575,0.073,1.52,2021,0.072
90,5.171,Azerbaijan,Commonwealth of Independent States,5.25,5.091,-0.223,1.025,0.841,0.541,0.526,0.276,1.919,2021,0.04
91,5.142,Cameroon,Sub-Saharan Africa,5.288,4.996,0.026,0.543,0.556,0.159,0.425,0.058,3.195,2021,0.074
92,5.132,Senegal,Sub-Saharan Africa,5.266,4.998,-0.046,0.518,0.558,0.357,0.381,0.088,3.071,2021,0.068
93,5.117,Albania,Central and Eastern Europe,5.234,5.001,-0.03,1.008,0.529,0.646,0.491,0.024,2.25,2021,0.059
94,5.101,North Macedonia,Central and Eastern Europe,5.202,5.001,0.038,1.068,0.772,0.535,0.45,0.022,2.042,2021,0.051
95,5.088,Ghana,Sub-Saharan Africa,5.219,4.958,0.123,0.68,0.595,0.287,0.517,0.058,2.684,2021,0.067
96,5.074,Niger,Sub-Saharan Africa,5.273,4.875,0.018,0.162,0.402,0.167,0.516,0.157,3.47,2021,0.102
97,5.066,Turkmenistan,Commonwealth of Independent States,5.136,4.996,0.273,1.046,1.172,0.439,0.602,0.033,1.409,2021,0.036
98,5.051,Gambia,Sub-Saharan Africa,5.225,4.877,0.424,0.367,0.511,0.21,0.384,0.123,2.99,2021,0.089
99,5.045,Benin,Sub-Saharan Africa,5.189,4.901,-0.034,0.507,0.058,0.196,0.457,0.178,3.482,2021,0.073
100,5.030,Laos,Southeast Asia,5.119,4.941,0.123,0.808,0.598,0.33,0.643,0.179,2.204,2021,0.045
101,5.025,Bangladesh,South Asia,5.115,4.934,-0.041,0.635,0.52,0.514,0.603,0.164,2.427,2021,0.046
102,4.984,Guinea,Sub-Saharan Africa,5.16,4.808,0.095,0.42,0.399,0.206,0.384,0.111,3.216,2021,0.09
103,4.956,South Africa,Sub-Saharan Africa,5.074,4.839,-0.067,0.967,0.895,0.265,0.447,0.051,2.187,2021,0.06
104,4.948,Turkey,Middle East and North Africa,5.038,4.857,-0.139,1.26,0.809,0.59,0.236,0.104,1.852,2021,0.046
105,4.934,Pakistan,South Asia,5.066,4.802,0.098,0.637,0.423,0.322,0.418,0.097,2.784,2021,0.068
106,4.918,Morocco,Middle East and North Africa,5.036,4.8,-0.236,0.792,0.219,0.558,0.477,0.088,2.749,2021,0.06
107,4.892,Venezuela,Latin America and Caribbean,5.017,4.767,-0.169,0.852,0.897,0.574,0.284,0.072,2.135,2021,0.064
108,4.891,Georgia,Commonwealth of Independent States,4.998,4.785,-0.238,1.03,0.47,0.498,0.488,0.181,2.191,2021,0.054
109,4.887,Algeria,Middle East and North Africa,4.991,4.783,-0.067,0.946,0.765,0.552,0.119,0.12,2.242,2021,0.053
110,4.875,Ukraine,Commonwealth of Independent States,4.977,4.773,-0.011,0.979,0.958,0.517,0.417,0.01,1.813,2021,0.052
111,4.854,Iraq,Middle East and North Africa,4.97,4.738,-0.053,0.91,0.638,0.381,0.302,0.041,2.429,2021,0.059
112,4.852,Gabon,Sub-Saharan Africa,4.998,4.706,-0.2,1.037,0.707,0.362,0.424,0.064,2.201,2021,0.075
113,4.834,Burkina Faso,Sub-Saharan Africa,4.993,4.675,-0.009,0.364,0.472,0.179,0.381,0.122,3.133,2021,0.081
114,4.830,Cambodia,Southeast Asia,4.963,4.698,0.034,0.603,0.68,0.426,0.702,0.061,2.148,2021,0.067
115,4.794,Mozambique,Sub-Saharan Africa,4.997,4.592,0.061,0.183,0.634,0.196,0.608,0.163,2.783,2021,0.103
116,4.759,Nigeria,Sub-Saharan Africa,4.861,4.658,0.037,0.663,0.625,0.051,0.433,0.039,2.736,2021,0.052
117,4.723,Mali,Sub-Saharan Africa,4.884,4.563,-0.036,0.387,0.59,0.11,0.384,0.072,3.016,2021,0.082
118,4.721,Iran,Middle East and North Africa,4.828,4.614,0.218,1.03,0.557,0.561,0.275,0.144,1.823,2021,0.055
119,4.636,Uganda,Sub-Saharan Africa,4.78,4.493,0.122,0.364,0.718,0.24,0.398,0.054,2.596,2021,0.073
120,4.625,Liberia,Sub-Saharan Africa,4.833,4.417,0.05,0.228,0.58,0.253,0.43,0.057,2.857,2021,0.106
121,4.607,Kenya,Sub-Saharan Africa,4.747,4.466,0.287,0.603,0.508,0.385,0.483,0.073,2.18,2021,0.072
122,4.596,Tunisia,Middle East and North Africa,4.709,4.484,-0.201,0.919,0.515,0.59,0.334,0.044,2.138,2021,0.058
123,4.584,Lebanon,Middle East and North Africa,4.691,4.477,-0.073,1.045,0.868,0.595,0.175,0.026,1.736,2021,0.055
124,4.574,Namibia,Sub-Saharan Africa,4.7,4.448,-0.149,0.882,0.801,0.262,0.411,0.059,2.068,2021,0.064
125,4.517,Palestinian Territories,Middle East and North Africa,4.649,4.384,-0.163,0.646,0.819,0.434,0.33,0.075,2.131,2021,0.067
126,4.426,Myanmar,Southeast Asia,4.527,4.324,0.509,0.666,0.713,0.341,0.601,0.178,1.407,2021,0.052
127,4.395,Jordan,Middle East and North Africa,4.516,4.273,-0.167,0.89,0.685,0.583,0.455,0.15,1.553,2021,0.062
128,4.355,Chad,Sub-Saharan Africa,4.54,4.171,0.041,0.255,0.353,0,0.24,0.084,3.209,2021,0.094
129,4.325,Sri Lanka,South Asia,4.454,4.196,0.079,0.99,0.82,0.593,0.559,0.049,1.075,2021,0.066
130,4.308,Swaziland,Sub-Saharan Africa,4.448,4.168,-0.185,0.849,0.693,0.074,0.323,0.147,2.155,2021,0.071
131,4.289,Comoros,Sub-Saharan Africa,4.454,4.123,0.082,0.488,0.367,0.279,0.202,0.101,2.61,2021,0.084
132,4.283,Egypt,Middle East and North Africa,4.371,4.195,-0.182,0.954,0.647,0.426,0.446,0.092,1.648,2021,0.045
133,4.275,Ethiopia,Sub-Saharan Africa,4.374,4.175,0.082,0.37,0.679,0.331,0.451,0.114,2.089,2021,0.051
134,4.227,Mauritania,Sub-Saharan Africa,4.365,4.09,-0.106,0.666,0.749,0.273,0.218,0.133,2.069,2021,0.07
135,4.208,Madagascar,Sub-Saharan Africa,4.349,4.068,-0.005,0.266,0.503,0.341,0.207,0.087,2.62,2021,0.072
136,4.107,Togo,Sub-Saharan Africa,4.258,3.956,0.032,0.254,0.239,0.203,0.289,0.107,2.806,2021,0.077
137,4.073,Zambia,Sub-Saharan Africa,4.209,3.938,0.061,0.528,0.552,0.231,0.487,0.074,1.975,2021,0.069
138,3.849,Sierra Leone,Sub-Saharan Africa,4.001,3.698,0.084,0.279,0.377,0.1,0.408,0.047,2.396,2021,0.077
139,3.819,India,South Asia,3.869,3.769,0.089,0.741,0.316,0.383,0.622,0.106,1.405,2021,0.026
140,3.775,Burundi,Sub-Saharan Africa,3.985,3.565,-0.024,0,0.062,0.155,0.298,0.212,2.876,2021,0.107
141,3.658,Yemen,Middle East and North Africa,3.794,3.521,-0.147,0.329,0.831,0.272,0.268,0.089,1.776,2021,0.07
142,3.623,Tanzania,Sub-Saharan Africa,3.762,3.485,0.183,0.433,0.54,0.3,0.549,0.231,1.263,2021,0.071
143,3.615,Haiti,Latin America and Caribbean,3.953,3.276,0.422,0.294,0.173,0.227,0.257,0.139,2.06,2021,0.173
144,3.600,Malawi,Sub-Saharan Africa,3.781,3.419,0.038,0.113,0.168,0.298,0.484,0.134,2.19,2021,0.092
145,3.512,Lesotho,Sub-Saharan Africa,3.748,3.276,-0.131,0.451,0.731,0.007,0.405,0.015,1.8,2021,0.12
146,3.467,Botswana,Sub-Saharan Africa,3.611,3.322,-0.246,1.099,0.724,0.34,0.539,0.088,0.648,2021,0.074
147,3.415,Rwanda,Sub-Saharan Africa,3.548,3.282,0.061,0.364,0.202,0.407,0.627,0.493,1.095,2021,0.068
148,3.145,Zimbabwe,Sub-Saharan Africa,3.259,3.03,-0.047,0.457,0.649,0.243,0.359,0.075,1.205,2021,0.058
149,2.523,Afghanistan,South Asia,2.596,2.449,-0.102,0.37,0,0.126,0,0.01,1.895,2021,0.038
