Rank,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Happiness Score,Country,Happiness Rank,Freedom,Generosity,Family (Social Support),Year,Region
65,1,0.92356,0.1428,5.695,North Cyprus,66,0.49027,0.26169,1,2015,Western Europe
66,1,0.92356,0.06146,5.689,Cyprus,67,0.40672,0.30638,1,2015,Western Europe
67,1,0.61766,0.17383,5.605,Algeria,68,0.28579,0.07822,1,2015,Middle East and Northern Africa
68,1,0.63132,0.04741,5.589,Kosovo,69,0.24749,0.2831,1,2015,Central and Eastern Europe
69,1,0.53886,0.30844,5.548,Turkmenistan,70,0.4761,0.16979,1,2015,Central and Eastern Europe
70,1,0.7095,0.07521,5.477,Mauritius,71,0.56066,0.37744,1,2015,Sub-Saharan Africa
71,1,1.01328,0.37124,5.474,Hong Kong,72,0.59608,0.39478,1,2015,Eastern Asia
72,1,0.77361,0.15184,5.429,Estonia,73,0.44888,0.0868,1,2015,Central and Eastern Europe
73,1,0.63793,0,5.399,Indonesia,74,0.46611,0.51535,1,2015,Southeastern Asia
74,1,0.74676,0.10441,5.36,Vietnam,75,0.59444,0.1686,1,2015,Southeastern Asia
75,1,0.73172,0.15746,5.332,Turkey,76,0.22815,0.12253,1,2015,Middle East and Northern Africa
76,0,0.65088,0.04232,5.286,Kyrgyzstan,77,0.43477,0.3003,1,2015,Central and Eastern Europe
77,1,0.16007,0.0403,5.268,Nigeria,78,0.34334,0.27233,1,2015,Sub-Saharan Africa
78,1,0.57407,0.15445,5.253,Bhutan,79,0.53206,0.47998,1,2015,Southern Asia
79,1,0.64045,0.16065,5.212,Azerbaijan,80,0.3703,0.07799,1,2015,Central and Eastern Europe
80,1,0.51466,0.10464,5.194,Pakistan,81,0.12102,0.33671,0,2015,Southern Asia
81,1,0.69639,0.14293,5.192,Jordan,82,0.40661,0.11053,1,2015,Middle East and Northern Africa
82,1,0.72521,0.14296,5.192,Montenegro,82,0.1826,0.1614,1,2015,Central and Eastern Europe
83,1,0.81658,0.02781,5.14,China,84,0.51697,0.08185,1,2015,Eastern Asia
84,0,0.29924,0.12468,5.129,Zambia,85,0.48827,0.19591,1,2015,Sub-Saharan Africa
85,1,0.7689,0.00649,5.124,Romania,86,0.35068,0.13748,1,2015,Central and Eastern Europe
86,1,0.74836,0.02617,5.123,Serbia,87,0.20107,0.19231,1,2015,Central and Eastern Europe
87,1,0.87519,0.01078,5.102,Portugal,88,0.51469,0.13719,1,2015,Western Europe
88,1,0.72437,0.06332,5.098,Latvia,89,0.29671,0.18226,1,2015,Central and Eastern Europe
89,1,0.58114,0.12279,5.073,Philippines,90,0.62545,0.24991,1,2015,Southeastern Asia
90,0,0.43873,0.39928,5.057,Somaliland region,91,0.46582,0.50318,1,2015,Sub-Saharan Africa
91,1,0.60954,0.08546,5.013,Morocco,92,0.41691,0.07172,1,2015,Middle East and Northern Africa
92,1,0.73545,0.05327,5.007,Macedonia,93,0.33457,0.22359,1,2015,Central and Eastern Europe
93,0,0.09131,0.15603,4.971,Mozambique,94,0.34037,0.22269,1,2015,Sub-Saharan Africa
94,1,0.81325,0.06413,4.959,Albania,95,0.35733,0.14272,1,2015,Central and Eastern Europe
95,1,0.79081,0.00227,4.949,Bosnia and Herzegovina,96,0.09245,0.24808,1,2015,Central and Eastern Europe
96,0,0.07612,0.12504,4.898,Lesotho,97,0.31767,0.16388,1,2015,Sub-Saharan Africa
97,1,0.66825,0.14234,4.885,Dominican Republic,98,0.57672,0.21684,1,2015,Latin America and Caribbean
98,1,0.54909,0.24249,4.876,Laos,99,0.59591,0.42192,1,2015,Southeastern Asia
99,1,0.60268,0.02666,4.874,Mongolia,100,0.43626,0.3323,1,2015,Eastern Asia
100,1,0.07566,0.0306,4.867,Swaziland,101,0.30658,0.18259,1,2015,Sub-Saharan Africa
101,1,0.88213,0.01397,4.857,Greece,102,0.07699,0,1,2015,Western Europe
102,1,0.83947,0.04582,4.839,Lebanon,103,0.33916,0.21854,1,2015,Middle East and Northern Africa
103,1,0.75905,0.02758,4.8,Hungary,104,0.32112,0.128,1,2015,Central and Eastern Europe
104,1,0.6951,0.06825,4.788,Honduras,105,0.40148,0.23027,1,2015,Latin America and Caribbean
105,0,0.57379,0.15072,4.786,Tajikistan,106,0.47216,0.22974,1,2015,Central and Eastern Europe
106,1,0.73793,0.06358,4.739,Tunisia,107,0.26268,0.06431,1,2015,Middle East and Northern Africa
107,1,0.66015,0.12905,4.715,Palestinian Territories,108,0.24499,0.11251,1,2015,Middle East and Northern Africa
108,0,0.60164,0.12569,4.694,Bangladesh,109,0.4082,0.21222,0,2015,Southern Asia
109,1,0.69805,0.05863,4.686,Iran,110,0.30033,0.38086,1,2015,Middle East and Northern Africa
110,1,0.6739,0.02961,4.681,Ukraine,111,0.25123,0.15275,1,2015,Central and Eastern Europe
111,1,0.60237,0.13788,4.677,Iraq,112,0,0.17922,1,2015,Middle East and Northern Africa
112,1,0.27688,0.08884,4.642,South Africa,113,0.33207,0.11973,1,2015,Sub-Saharan Africa
113,1,0.40132,0.04355,4.633,Ghana,114,0.42342,0.23087,1,2015,Sub-Saharan Africa
114,0,0.33475,0.08079,4.61,Zimbabwe,115,0.25861,0.18987,1,2015,Sub-Saharan Africa
115,0,0.34201,0.06232,4.571,Liberia,116,0.28531,0.24362,1,2015,Sub-Saharan Africa
116,1,0.51529,0.08492,4.565,India,117,0.39786,0.26475,0,2015,Southern Asia
117,1,0.36878,0.1466,4.55,Sudan,118,0.10081,0.19062,1,2015,Sub-Saharan Africa
118,0,0.38847,0.17175,4.518,Haiti,119,0.24425,0.46187,1,2015,Latin America and Caribbean
119,0,0.09806,0.07625,4.517,Congo (Kinshasa),120,0.22605,0.24834,1,2015,Sub-Saharan Africa
120,0,0.56874,0.05907,4.514,Nepal,121,0.38282,0.32296,1,2015,Southern Asia
121,0,0.44055,0.15048,4.512,Ethiopia,122,0.4345,0.24325,1,2015,Sub-Saharan Africa
122,0,0,0.08786,4.507,Sierra Leone,123,0.4084,0.21488,1,2015,Sub-Saharan Africa
123,0,0.35874,0.17461,4.436,Mauritania,124,0.24232,0.219,1,2015,Sub-Saharan Africa
124,0,0.41435,0.05839,4.419,Kenya,125,0.42215,0.37542,1,2015,Sub-Saharan Africa
125,0,0.36291,0.28105,4.369,Djibouti,126,0.46074,0.18093,1,2015,Sub-Saharan Africa
126,1,0.7299,0.039,4.35,Armenia,127,0.19847,0.07855,1,2015,Central and Eastern Europe
127,1,0.04776,0.12474,4.332,Botswana,128,0.49495,0.10461,1,2015,Sub-Saharan Africa
128,0,0.48246,0.19034,4.307,Myanmar,129,0.44017,0.79588,1,2015,Southeastern Asia
129,1,0.72926,0.38331,4.297,Georgia,130,0.40577,0.05547,0,2015,Central and Eastern Europe
130,0,0.22562,0.06977,4.292,Malawi,131,0.43054,0.33128,0,2015,Sub-Saharan Africa
131,1,0.70806,0.09179,4.271,Sri Lanka,132,0.53726,0.40828,1,2015,Southern Asia
132,0,0.23402,0.05786,4.252,Cameroon,133,0.49309,0.20618,1,2015,Sub-Saharan Africa
133,1,0.76649,0.00872,4.218,Bulgaria,134,0.30587,0.11921,1,2015,Central and Eastern Europe
134,1,0.61712,0.06324,4.194,Egypt,135,0.17288,0.11291,1,2015,Middle East and Northern Africa
135,1,0.40064,0.07854,4.077,Yemen,136,0.35571,0.09131,1,2015,Middle East and Northern Africa
136,1,0.16683,0.07122,4.033,Angola,137,0.10384,0.12344,1,2015,Sub-Saharan Africa
137,0,0.20583,0.12352,3.995,Mali,138,0.38857,0.18798,1,2015,Sub-Saharan Africa
138,1,0.31051,0.11686,3.989,Congo (Brazzaville),139,0.41466,0.12388,1,2015,Sub-Saharan Africa
139,0,0.36315,0.199,3.956,Comoros,140,0.22917,0.17441,1,2015,Sub-Saharan Africa
140,0,0.33861,0.07267,3.931,Uganda,141,0.45727,0.29066,1,2015,Sub-Saharan Africa
141,0,0.4354,0.10713,3.904,Senegal,142,0.36772,0.20843,1,2015,Sub-Saharan Africa
142,1,0.43372,0.11091,3.896,Gabon,143,0.31914,0.06822,1,2015,Sub-Saharan Africa
143,0,0.29707,0.15639,3.845,Niger,144,0.47692,0.19387,1,2015,Sub-Saharan Africa
144,0,0.61114,0.07247,3.819,Cambodia,145,0.66246,0.40359,1,2015,Southeastern Asia
145,0,0.38215,0.05747,3.781,Tanzania,146,0.32878,0.34377,1,2015,Sub-Saharan Africa
146,0,0.46721,0.08124,3.681,Madagascar,147,0.19184,0.21333,1,2015,Sub-Saharan Africa
147,0,0.06699,0.08289,3.678,Central African Republic,148,0.48879,0.23835,0,2015,Sub-Saharan Africa
148,0,0.1501,0.05269,3.667,Chad,149,0.23501,0.18386,1,2015,Sub-Saharan Africa
149,0,0.24009,0.12139,3.656,Guinea,150,0.37725,0.28657,0,2015,Sub-Saharan Africa
150,0,0.15185,0.17922,3.655,Ivory Coast,151,0.46866,0.20165,1,2015,Sub-Saharan Africa
151,0,0.27125,0.12832,3.587,Burkina Faso,152,0.39493,0.21747,1,2015,Sub-Saharan Africa
152,0,0.30335,0.09719,3.575,Afghanistan,153,0.23414,0.3651,0,2015,Southern Asia
153,0,0.42864,0.55191,3.465,Rwanda,154,0.59201,0.22628,1,2015,Sub-Saharan Africa
154,0,0.3191,0.0801,3.34,Benin,155,0.4845,0.1826,0,2015,Sub-Saharan Africa
155,1,0.72193,0.18906,3.006,Syria,156,0.15684,0.47179,0,2015,Middle East and Northern Africa
156,0,0.22396,0.10062,2.905,Burundi,157,0.1185,0.19727,0,2015,Sub-Saharan Africa
157,0,0.28443,0.10731,2.839,Togo,158,0.36453,0.16681,0,2015,Sub-Saharan Africa
158,1,0.79504,0.44453,7.526,Denmark,1,0.57941,0.36171,1,2016,Western Europe
159,2,0.86303,0.41203,7.509,Switzerland,2,0.58557,0.28083,1,2016,Western Europe
160,1,0.86733,0.14975,7.501,Iceland,3,0.56624,0.47678,1,2016,Western Europe
161,2,0.79579,0.35776,7.498,Norway,4,0.59609,0.37895,1,2016,Western Europe
162,1,0.81091,0.41004,7.413,Finland,5,0.57104,0.25492,1,2016,Western Europe
163,1,0.8276,0.31329,7.404,Canada,6,0.5737,0.44834,1,2016,North America
164,1,0.81231,0.29927,7.339,Netherlands,7,0.55211,0.47416,1,2016,Western Europe
165,1,0.83096,0.41904,7.334,New Zealand,8,0.58147,0.49401,1,2016,Australia and New Zealand
166,1,0.8512,0.32331,7.313,Australia,9,0.56837,0.47407,1,2016,Australia and New Zealand
167,1,0.83121,0.40867,7.291,Sweden,10,0.58218,0.38254,1,2016,Western Europe
168,1,0.84917,0.08728,7.267,Israel,11,0.36432,0.32288,1,2016,Middle East and Northern Africa
169,1,0.80565,0.21348,7.119,Austria,12,0.54355,0.32865,1,2016,Western Europe
170,2,0.779,0.14868,7.104,United States,13,0.48163,0.41077,1,2016,North America
171,1,0.76146,0.10547,7.087,Costa Rica,14,0.55225,0.22553,1,2016,Latin America and Caribbean
172,1,0.77758,0.12275,7.039,Puerto Rico,15,0.46823,0.22202,1,2016,Latin America and Caribbean
173,1,0.81487,0.28551,6.994,Germany,16,0.53466,0.30452,1,2016,Western Europe
174,1,0.61415,0.14166,6.952,Brazil,17,0.40425,0.15776,1,2016,Latin America and Caribbean
175,1,0.81959,0.26248,6.929,Belgium,18,0.51354,0.2424,1,2016,Western Europe
176,1,0.81455,0.29754,6.907,Ireland,19,0.54008,0.44963,1,2016,Western Europe
177,2,0.84542,0.35329,6.871,Luxembourg,20,0.5487,0.27571,1,2016,Western Europe
178,1,0.71143,0.18355,6.778,Mexico,21,0.37709,0.11735,1,2016,Latin America and Caribbean
179,2,0.94719,0.46987,6.739,Singapore,22,0.4877,0.32706,1,2016,Southeastern Asia
180,1,0.80991,0.27399,6.725,United Kingdom,23,0.50036,0.50156,1,2016,Western Europe
181,1,0.81883,0.11451,6.705,Chile,24,0.37789,0.31595,1,2016,Latin America and Caribbean
182,1,0.70835,0.08423,6.701,Panama,25,0.48927,0.2418,1,2016,Latin America and Caribbean
183,1,0.69711,0.07296,6.65,Argentina,26,0.42284,0.10989,1,2016,Latin America and Caribbean
184,1,0.76376,0.03986,6.596,Czech Republic,27,0.41418,0.09929,1,2016,Central and Eastern Europe
185,2,0.72993,0.35561,6.573,United Arab Emirates,28,0.56215,0.26591,1,2016,Middle East and Northern Africa
186,1,0.72183,0.21394,6.545,Uruguay,29,0.54388,0.18056,1,2016,Latin America and Caribbean
187,1,0.80315,0.17554,6.488,Malta,30,0.54994,0.56237,1,2016,Western Europe
188,1,0.59659,0.05399,6.481,Colombia,31,0.44735,0.15626,1,2016,Latin America and Caribbean
189,1,0.83795,0.17808,6.478,France,32,0.46562,0.1216,1,2016,Western Europe
190,1,0.64915,0.02833,6.474,Thailand,33,0.49553,0.58696,1,2016,Southeastern Asia
191,1,0.59267,0.30008,6.379,Saudi Arabia,34,0.37904,0.15457,1,2016,Middle East and Northern Africa
192,1,0.79565,0.0663,6.379,Taiwan,34,0.32377,0.25495,1,2016,Eastern Asia
193,2,0.71723,0.48049,6.375,Qatar,36,0.56679,0.32388,1,2016,Middle East and Northern Africa
194,1,0.87896,0.06137,6.361,Spain,37,0.37545,0.17665,1,2016,Western Europe
195,1,0.61804,0.16157,6.355,Algeria,38,0.21006,0.07044,1,2016,Middle East and Northern Africa
196,1,0.54039,0.08701,6.324,Guatemala,39,0.50379,0.28808,1,2016,Latin America and Caribbean
197,1,0.50933,0.12692,6.269,Suriname,40,0.52234,0.16665,1,2016,Latin America and Caribbean
198,2,0.63569,0.23669,6.239,Kuwait,41,0.43166,0.15965,1,2016,Middle East and Northern Africa
199,1,0.65696,0.25772,6.218,Bahrain,42,0.47375,0.17147,1,2016,Middle East and Northern Africa
200,1,0.52608,0.01241,6.168,Trinidad and Tobago,43,0.48453,0.31935,1,2016,Latin America and Caribbean
201,1,0.61904,0.08304,6.084,Venezuela,44,0.19847,0.0425,1,2016,Latin America and Caribbean
202,1,0.70367,0.02947,6.078,Slovakia,45,0.23391,0.13837,1,2016,Central and Eastern Europe
203,1,0.596,0.10613,6.068,El Salvador,46,0.37269,0.08877,1,2016,Latin America and Caribbean
204,1,0.62366,0.09081,6.005,Malaysia,47,0.39031,0.41474,1,2016,Southeastern Asia
205,1,0.65213,0.16292,5.992,Nicaragua,48,0.46582,0.29773,1,2016,Latin America and Caribbean
206,1,0.50163,0.28333,5.987,Uzbekistan,49,0.60848,0.34326,1,2016,Central and Eastern Europe
207,1,0.85102,0.02556,5.977,Italy,50,0.18827,0.16684,1,2016,Western Europe
208,1,0.68613,0.18037,5.976,Ecuador,51,0.4027,0.10074,1,2016,Latin America and Caribbean
209,1,0.45569,0.10771,5.956,Belize,52,0.51231,0.23684,1,2016,Latin America and Caribbean
210,1,0.91491,0.18985,5.921,Japan,53,0.46761,0.10224,1,2016,Eastern Asia
211,1,0.57386,0.11132,5.919,Kazakhstan,54,0.4052,0.15011,1,2016,Central and Eastern Europe
212,1,0.52309,0.01903,5.897,Moldova,55,0.25202,0.19997,1,2016,Central and Eastern Europe
213,1,0.58991,0.03586,5.856,Russia,56,0.32682,0.02736,1,2016,Central and Eastern Europe
214,1,0.69058,0.055,5.835,Poland,57,0.4519,0.14443,1,2016,Central and Eastern Europe
215,1,0.88645,0.07716,5.835,South Korea,57,0.25168,0.18824,1,2016,Eastern Asia
216,1,0.4697,0.07746,5.822,Bolivia,59,0.50961,0.21698,1,2016,Latin America and Caribbean
217,1,0.64674,0.0182,5.813,Lithuania,60,0.18929,0.02025,1,2016,Central and Eastern Europe
218,1,0.63104,0.17457,5.802,Belarus,61,0.29091,0.13942,1,2016,Central and Eastern Europe
219,1,0.84142,0.16578,5.771,North Cyprus,62,0.43596,0.26322,1,2016,Western Europe
220,1,0.79151,0.03635,5.768,Slovenia,63,0.53164,0.25738,1,2016,Central and Eastern Europe
221,1,0.62994,0.05292,5.743,Peru,64,0.37502,0.14527,1,2016,Latin America and Caribbean
222,1,0.44006,0.28467,5.658,Turkmenistan,65,0.37408,0.22567,1,2016,Central and Eastern Europe
223,1,0.66189,0.05203,5.648,Mauritius,66,0.46145,0.36951,1,2016,Sub-Saharan Africa
224,1,0.52304,0.10339,5.615,Libya,67,0.40672,0.17087,1,2016,Middle East and Northern Africa
225,1,0.63952,0.0889,5.56,Latvia,68,0.27996,0.17445,1,2016,Central and Eastern Europe
226,1,0.8488,0.05228,5.546,Cyprus,69,0.29507,0.27906,1,2016,Western Europe
227,1,0.58295,0.07396,5.538,Paraguay,70,0.46235,0.25296,1,2016,Latin America and Caribbean
228,1,0.67602,0.00679,5.528,Romania,71,0.36712,0.12889,1,2016,Central and Eastern Europe
229,1,0.68098,0.18519,5.517,Estonia,72,0.41511,0.08423,1,2016,Central and Eastern Europe
230,1,0.59469,0.04294,5.51,Jamaica,73,0.43597,0.22245,1,2016,Latin America and Caribbean
231,1,0.70524,0.04002,5.488,Croatia,74,0.23907,0.18434,1,2016,Central and Eastern Europe
232,2,0.95277,0.31647,5.458,Hong Kong,75,0.48079,0.40097,1,2016,Eastern Asia
233,0,0.11466,0.3118,5.44,Somalia,76,0.56778,0.27225,0,2016,Sub-Saharan Africa
234,1,0.54,0.06547,5.401,Kosovo,77,0.14396,0.27992,1,2016,Central and Eastern Europe
235,1,0.64718,0.12348,5.389,Turkey,78,0.23889,0.04707,1,2016,Middle East and Northern Africa
236,1,0.49374,0.00322,5.314,Indonesia,79,0.39237,0.56521,1,2016,Southeastern Asia
237,1,0.60712,0.13297,5.303,Jordan,80,0.36023,0.14262,1,2016,Middle East and Northern Africa
238,1,0.54504,0.17914,5.291,Azerbaijan,81,0.35327,0.0564,1,2016,Central and Eastern Europe
239,1,0.47036,0.11757,5.279,Philippines,82,0.54854,0.21674,1,2016,Southeastern Asia
240,1,0.73561,0.02745,5.245,China,83,0.44012,0.04959,1,2016,Eastern Asia
241,1,0.49759,0.1616,5.196,Bhutan,84,0.46074,0.48546,1,2016,Southern Asia
242,1,0.55449,0.04762,5.185,Kyrgyzstan,85,0.40212,0.38432,1,2016,Central and Eastern Europe
243,1,0.6458,0.04339,5.177,Serbia,86,0.15718,0.20737,1,2016,Central and Eastern Europe
244,1,0.70766,0,5.163,Bosnia and Herzegovina,87,0.09511,0.29889,1,2016,Central and Eastern Europe
245,1,0.63533,0.12721,5.161,Montenegro,88,0.15111,0.17191,1,2016,Central and Eastern Europe
246,1,0.57669,0.12372,5.155,Dominican Republic,89,0.52259,0.21286,1,2016,Latin America and Caribbean
247,1,0.59471,0.08404,5.151,Morocco,90,0.25646,0.04053,0,2016,Middle East and Northern Africa
248,1,0.67608,0.04472,5.145,Hungary,91,0.1977,0.099,1,2016,Central and Eastern Europe
249,1,0.40306,0.1388,5.132,Pakistan,92,0.14622,0.31185,0,2016,Southern Asia
250,1,0.76171,0.03061,5.129,Lebanon,93,0.26228,0.23693,1,2016,Middle East and Northern Africa
251,1,0.79363,0.01521,5.123,Portugal,94,0.44727,0.11691,1,2016,Western Europe
252,1,0.64738,0.07047,5.121,Macedonia,95,0.27668,0.23507,1,2016,Central and Eastern Europe
253,1,0.66157,0.11556,5.061,Vietnam,96,0.55954,0.25075,1,2016,Southeastern Asia
254,0,0.33108,0.36794,5.057,Somaliland Region,97,0.3913,0.51479,1,2016,Sub-Saharan Africa
255,1,0.59577,0.0817,5.045,Tunisia,98,0.23553,0.03936,0,2016,Middle East and Northern Africa
256,1,0.80029,0.04127,5.033,Greece,99,0.05822,0,1,2016,Western Europe
257,0,0.53119,0.13509,4.996,Tajikistan,100,0.43408,0.25998,1,2016,Central and Eastern Europe
258,1,0.55469,0.03285,4.907,Mongolia,101,0.35972,0.34539,1,2016,Eastern Asia
259,1,0.38291,0.22423,4.876,Laos,102,0.52168,0.43079,1,2016,Southeastern Asia
260,1,0.05108,0.0305,4.875,Nigeria,103,0.27854,0.23219,1,2016,Sub-Saharan Africa
261,1,0.58383,0.06906,4.871,Honduras,104,0.26755,0.2044,1,2016,Latin America and Caribbean
262,1,0.64232,0.0557,4.813,Iran,105,0.22544,0.38538,0,2016,Middle East and Northern Africa
263,1,0.23573,0.11479,4.795,Zambia,106,0.42662,0.17866,1,2016,Sub-Saharan Africa
264,0,0.50073,0.07008,4.793,Nepal,107,0.37012,0.3816,1,2016,Southern Asia
265,1,0.56844,0.10613,4.754,Palestinian Territories,108,0.17744,0.11154,1,2016,Middle East and Northern Africa
266,1,0.73007,0.05301,4.655,Albania,109,0.31866,0.1684,1,2016,Central and Eastern Europe
267,1,0.52989,0.12583,4.643,Bangladesh,110,0.39778,0.19132,0,2016,Southern Asia
268,0,0,0.08196,4.635,Sierra Leone,111,0.30685,0.23897,1,2016,Sub-Saharan Africa
269,1,0.51076,0.13636,4.575,Iraq,112,0.24856,0.19589,1,2016,Middle East and Northern Africa
270,1,0.34745,0.10398,4.574,Namibia,113,0.48614,0.07795,1,2016,Sub-Saharan Africa
271,1,0.12698,0.06126,4.513,Cameroon,114,0.42736,0.2268,1,2016,Sub-Saharan Africa
272,0,0.34578,0.1717,4.508,Ethiopia,115,0.36703,0.29522,0,2016,Sub-Saharan Africa
